"","Token","n"
"1420","detener",502
"1421","miguel",502
"1422","preciso",501
"1423","concentrar",500
"1424","obrigada",500
"1425","raíz",500
"1426","vine",500
"1427","mesa",499
"1428","metido",498
"1429","proyecto",498
"1430","sanción",498
"1431","pablo",497
"1432","soporte",497
"1433","columna",496
"1434","vereda",496
"1435","virtud",496
"1436","acudir",494
"1437","dificultad",493
"1438","traía",493
"1439","barrio",492
"1440","españa",492
"1441","corte",491
"1442","ocupar",490
"1443","asesor",489
"1444","listado",489
"1445","caserío",488
"1446","diverso",488
"1447","exhaustiva",488
"1448","asesinar-",487
"1449","formal",487
"1450","podar",487
"1451","a",486
"1452","restrepo",486
"1453","siguiente",486
"1454","escribir",485
"1455","canal",484
"1456","llegue",484
"1457","apartado",483
"1458","denominar",483
"1459","dispositivo",483
"1460","aprovechar",482
"1461","remitir",482
"1462","repitar",482
"1463","escena",481
"1464","fijar",481
"1465","camilo",480
"1466","disculpe",480
"1467","movía",480
"1468","teófilo",480
"1469","caballo",479
"1470","expectativa",478
"1471","paqueter",478
"1472","finalizar",477
"1473","constitucional",476
"1474","obligado",476
"1475","definir",475
"1476","domingo",475
"1477","galindo",475
"1478","l",474
"1479","mejía",474
"1480","extorsionar",473
"1481","muere",473
"1482","facilitar",472
"1483","agrupación",471
"1484","gastar",471
"1485","vigente",471
"1486","sometimiento",470
"1487","sufrir",470
"1488","abastecimiento",469
"1489","raro",469
"1490","falla",468
"1491","amo",467
"1492","dirigido",467
"1493","vinculado",467
"1494","javiera",466
"1495","decirles",465
"1496","desmovilización",465
"1497","motivar",465
"1498","super",464
"1499","actitud",463
"1500","previa",463
"1501","puntero",463
"1502","justo",462
"1503","pinzón",461
"1504","rar",461
"1505","afirmación",460
"1506","blancar",460
"1507","convertir",460
"1508","noo",459
"1509","etapa",458
"1510","incautación",458
"1511","puse",458
"1512","putumayo",458
"1513","sede",458
"1514","completamente",457
"1515","exterior",456
"1516","motocicleta",456
"1517","seleccionar",456
"1518","transporte",456
"1519","artillería",455
"1520","comportamiento",455
"1521","córdobar",455
"1522","dialógico",455
"1523","indígeno",455
"1524","sentado",454
"1525","calderón",453
"1526","dado",453
"1527","dependencia",453
"1528","medina",453
"1529","triano",453
"1530","condenado",452
"1531","permito",451
"1532","tu",451
"1533","doña",450
"1534","giraldo",450
"1535","básico",449
"1536","guardar",449
"1537","echar",448
"1538","ordenado",448
"1539","respectivo",448
"1540","villanovar",448
"1541","descanso",447
"1542","santander",445
"1543","demasiado",444
"1544","mejorar",444
"1545","vía",444
"1546","cierre",443
"1547","colega",443
"1548","disciplina",443
"1549","entreguér",443
"1550","mil",443
"1551","delegada",442
"1552","recibo",442
"1553","mandan",441
"1554","mecanismo",441
"1555","institucional",440
"1556","almuerzo",439
"1557","birno",439
"1558","bus",439
"1559","llamér",439
"1560","trajo",439
"1561","estímulo",438
"1562","fallecer",438
"1563","mediado",438
"1564","propuesta",438
"1565","reflexión",438
"1566","tiempo",438
"1567","enrique",437
"1568","intercambio",437
"1569","presionar",437
"1570","rumor",437
"1571","vivienda",437
"1572","central",436
"1573","masacre",435
"1574","recorrido",435
"1575","apoderada",434
"1576","color",434
"1577","dormir",433
"1578","forzado",433
"1579","frecuente",433
"1580","gutiérrez",433
"1581","acompañado",432
"1582","casalla",432
"1583","co",432
"1584","insumo",432
"1585","tabla",431
"1586","abrer",430
"1587","escrita",430
"1588","esquina",430
"1589","instancia",430
"1590","pérdida",430
"1591","tipo",430
"1592","aclaración",429
"1593","adscrito",429
"1594","n",429
"1595","reitero",429
"1596","tribunal",429
"1597","mensaje",428
"1598","sostener",428
"1599","virtual",428
"1600","acompañamiento",427
"1601","calibre",427
"1602","imagen",427
"1603","voluntad",427
"1604","escobar",426
"1605","habler",426
"1606","cordillera",425
"1607","constante",424
"1608","monto",424
"1609","protocolo",424
"1610","salíar",424
"1611","visión",424
"1612","ataque",423
"1613","desaparecido",423
"1614","mauricio",423
"1615","orlar",423
"1616","afectación",422
"1617","lucir",422
"1618","obedecer",422
"1619","observatorio",422
"1620","construir",421
"1621","minado",421
"1622","puntualmente",421
"1623","avance",420
"1624","cubrir",419
"1625","estilo",419
"1626","señalado",419
"1627","verbal",419
"1628","acevedo",417
"1629","comprometido",417
"1630","neutralización",417
"1631","denunciar",416
"1632","involucrar",416
"1633","neutralizar",416
"1634","entidad",415
"1635","mando",415
"1636","mejor",415
"1637","comer",414
"1638","futuro",414
"1639","olvidar",414
"1640","acceder",413
"1641","alfonso",413
"1642","requisito",413
"1643","cocar",412
"1644","herrera",412
"1645","cano",411
"1646","descansar",411
"1647","individual",411
"1648","plazo",411
"1649","formular",410
"1650","fulano",410
"1651","rincón",410
"1652","alemania",409
"1653","antigüedad",409
"1654","reclamar",409
"1655","comentado",408
"1656","crucir",408
"1657","fenómeno",408
"1658","rutar",408
"1659","saludar",408
"1660","secretaría",408
"1661","tranquilidad",408
"1662","coincidir",407
"1663","presidir",407
"1664","contado",406
"1665","guillermo",406
"1666","pertenece",406
"1667","urgente",406
"1668","interrogatorio",405
"1669","irse",404
"1670","juicio",404
"1671","necesariamente",404
"1672","personería",404
"1673","disciplinaria",403
"1674","presento",403
"1675","ausencia",402
"1676","movilizar",402
"1677","énfasis",402
"1678","cadena",401
"1679","contrainteligencia",401
"1680","defender",401
"1681","indagar",401
"1682","mina",401
"1683","trayectoria",401
"1684","adelantado",400
"1685","límite",400
"1686","operador",400
"1687","reten",399
"1688","asumo",398
"1689","i",398
"1690","comprometer",397
"1691","lapso",397
"1692","táctico",397
"1693","emitir",396
"1694","figura",396
"1695","lucha",396
"1696","marta",396
"1697","viner",396
"1698","restaurativo",395
"1699","sarmiento",395
"1700","extraño",394
"1701","guerrero",394
"1702","indirectar",394
"1703","reemplazar",393
"1704","regla",393
"1705","transportar",393
"1706","cometida",392
"1707","factor",392
"1708","complejo",391
"1709","dear",390
"1710","dicho",390
"1711","eventualmente",390
"1712","rango",390
"1713","afuerar",389
"1714","averiguar",389
"1715","casar",389
"1716","claramente",389
"1717","gestión",389
"1718","legítimo",389
"1719","llevarlo",389
"1720","monterrey",389
"1721","orientar",389
"1722","oscuro",389
"1723","trair",389
"1724","armar",388
"1725","destacar",388
"1726","llamo",388
"1727","pas",388
"1728","alcaldía",387
"1729","muestrar",387
"1730","atracar",386
"1731","concretar",386
"1732","llorona",386
"1733","merecer",386
"1734","particularmente",386
"1735","volar",386
"1736","apreciación",385
"1737","envir",385
"1738","adelantarse",384
"1739","franco",384
"1740","presntar",384
"1741","diego",383
"1742","insistir",382
"1743","justificar",382
"1744","pigan",382
"1745","practicar",382
"1746","trajr",382
"1747","consideración",381
"1748","destacamento",381
"1749","excelente",381
"1750","isno",381
"1751","modalidad",381
"1752","castellano",380
"1753","inmediata",379
"1754","jairo",379
"1755","hecho",378
"1756","petrolera",378
"1757","empresar",377
"1758","parada",377
"1759","bayoneta",376
"1760","cre",376
"1761","hija",376
"1762","pedido",376
"1763","preparación",376
"1764","unido",376
"1765","usual",376
"1766","vainar",376
"1767","amarrado",375
"1768","sacado",375
"1769","secuestrado",375
"1770","comité",374
"1771","contactar",374
"1772","doct",374
"1773","potestad",374
"1774","t",374
"1775","belén",373
"1776","fernández",373
"1777","ediser",372
"1778","golpe",372
"1779","inocente",372
"1780","nacer",372
"1781","quemar",372
"1782","culpar",371
"1783","boyacá",370
"1784","designar",370
"1785","estado",370
"1786","respetar",369
"1787","revisión",369
"1788","usar",369
"1789","gusto",368
"1790","indagatoria",367
"1791","primo",367
"1792","referente",367
"1793","telefónico",366
"1794","voluntariamente",366
"1795","carmen",365
"1796","castro",365
"1797","mortero",365
"1798","primero",365
"1799","pasara",364
"1800","accionar",361
"1801","autorizado",361
"1802","escuadra",361
"1803","henry",361
"1804","identidad",361
"1805","lógica",361
"1806","nombrado",361
"1807","tal",361
"1808","informér",360
"1809","intendencia",360
"1810","podrer",360
"1811","sumar",360
"1812","aplauso",359
"1813","entrar-",359
"1814","probablemente",359
"1815","provenir",359
"1816","afectado",358
"1817","aproximado",358
"1818","conclusión",358
"1819","inmediato",358
"1820","pertenec",358
"1821","vicente",358
"1822","cruzar",357
"1823","enfermero",357
"1824","existencia",357
"1825","ponerle",356
"1826","bea",355
"1827","hable",355
"1828","perfectamente",355
"1829","compañera",354
"1830","electrónico",354
"1831","choa",353
"1832","cor",353
"1833","cuento",353
"1834","entrevista",353
"1835","impartir",353
"1836","ac",352
"1837","operacionalmente",352
"1838","pensado",352
"1839","pieza",352
"1840","pr",352
"1841","requerir",352
"1842","trabajo",352
"1843","verde",352
"1844","vierne",352
"1845","alcance",351
"1846","consciente",351
"1847","cuadrar",351
"1848","operativa",351
"1849","percepción",351
"1850","preguntado",351
"1851","vínculo",351
"1852","ametralladora",350
"1853","computador",350
"1854","delante",350
"1855","infiltración",350
"1856","ingreso",350
"1857","chiquito",349
"1858","preparado",349
"1859","fallecido",348
"1860","ituango",348
"1861","maecha",348
"1862","momentico",348
"1863","aceptación",347
"1864","agregado",347
"1865","baj",347
"1866","bcg",347
"1867","cónyugir",347
"1868","enseñar",347
"1869","subversivo",347
"1870","dígame",346
"1871","hospital",346
"1872","correa",345
"1873","dijerar",345
"1874","fajardo",345
"1875","relevante",345
"1876","intentar",344
"1877","valorar",344
"1878","importar",343
"1879","selva",343
"1880","definido",342
"1881","normatividad",342
"1882","reclutador",342
"1883","continúe",341
"1884","cuestionado",341
"1885","legalidad",341
"1886","querido",341
"1887","suscribir",341
"1888","boca",339
"1889","consignar",339
"1890","estación",339
"1891","moverse",339
"1892","nu",339
"1893","oriente",339
"1894","perspectiva",339
"1895","competente",338
"1896","hágalir",338
"1897","jugar",338
"1898","popa",338
"1899","prenda",338
"1900","sucio",338
"1901","café",337
"1902","quedo",337
"1903","tratado",337
"1904","distinta",336
"1905","previsto",335
"1906","magistr",334
"1907","ta",334
"1908","cuestionario",333
"1909","reparar",333
"1910","actual",332
"1911","avanzado",332
"1912","baje",332
"1913","calificar",332
"1914","dueño",332
"1915","instalar",332
"1916","parecía",332
"1917","sol",332
"1918","página",331
"1919","viajar",331
"1920","ángel",331
"1921","sal",330
"1922","santo",330
"1923","tortura",330
"1924","carga",329
"1925","delegación",329
"1926","delincuencial",329
"1927","hueco",329
"1928","minar",329
"1929","ortegar",329
"1930","complementar",328
"1931","cop",328
"1932","eje",328
"1933","informo",328
"1934","jornada",328
"1935","ricardo",328
"1936","secretaria",328
"1937","comprender",327
"1938","designado",327
"1939","formato",327
"1940","lunes",327
"1941","má",327
"1942","constitución",326
"1943","incorporar",326
"1944","pista",326
"1945","delictivo",325
"1946","engaño",325
"1947","fragmentario",325
"1948","guerrillera",324
"1949","inspector",324
"1950","asesoría",323
"1951","avisar",323
"1952","concretamente",323
"1953","bolsa",322
"1954","rilla",322
"1955","segundo",322
"1956","determinante",321
"1957","hostigamiento",321
"1958","independiente",321
"1959","gabriel",320
"1960","tienda",320
"1961","cerquita",319
"1962","matado",319
"1963","mendoza",319
"1964","tien",319
"1965","adicionalmente",318
"1966","afinidad",318
"1967","char",318
"1968","edgar",318
"1969","piso",318
"1970","bracamonte",317
"1971","humanidad",317
"1972","llegarar",317
"1973","pegar",317
"1974","alusión",316
"1975","exactitud",316
"1976","dada",315
"1977","grabada",315
"1978","hilario",315
"1979","perteneciente",315
"1980","vincular",315
"1981","médico",314
"1982","ocurrencia",314
"1983","resolver",314
"1984","vélez",314
"1985","feliz",313
"1986","infraestructura",313
"1987","regreso",313
"1988","combatiente",311
"1989","lancero",311
"1990","proceda",311
"1991","relativamente",311
"1992","rueda",311
"1993","desembarcar",310
"1994","escoltar",310
"1995","haberlo",310
"1996","preocupación",310
"1997","quisiérar",310
"1998","señalamiento",310
"1999","amistad",309
"2000","preliminar",309
"2001","salud",309
"2002","anzar",308
"2003","dec",308
"2004","junto",308
"2005","palacio",308
"2006","debajo",307
"2007","pelear",307
"2008","secuestrar",307
"2009","bonito",306
"2010","chocar",306
"2011","irme",306
"2012","mocho",306
"2013","mu",306
"2014","notar",306
"2015","regional",306
"2016","sub",306
"2017","violación",306
"2018","logro",305
"2019","ortiz",305
"2020","ilegítimo",304
"2021","seguido",304
"2022","silva",304
"2023","adoptar",303
"2024","callado",303
"2025","cordial",303
"2026","demostrar",303
"2027","izquierda",303
"2028","reclutar",303
"2029","actor",302
"2030","aquel",302
"2031","bolívar",302
"2032","capaz",302
"2033","conjuntar",302
"2034","habitante",302
"2035","injerencia",302
"2036","méndez",302
"2037","tolima",302
"2038","asociado",301
"2039","atento",301
"2040","quieto",301
"2041","ruiz",301
"2042","acoger",300
"2043","bonilla",300
"2044","cambiado",300
"2045","cultivo",300
"2046","esposo",300
"2047","ilícito",300
"2048","aire",299
"2049","ayudante",299
"2050","exhaustivo",299
"2051","habitual",299
"2052","profundidad",299
"2053","étnico",299
"2054","alojamiento",298
"2055","araque",298
"2056","distinguir",298
"2057","espaldar",298
"2058","honor",298
"2059","pardo",298
"2060","proponer",298
"2061","tomo",298
"2062","eraa",297
"2063","excusa",297
"2064","loso",297
"2065","macrocaso",297
"2066","opción",297
"2067","veníar",297
"2068","físicamente",296
"2069","hacerse",296
"2070","reconstrucción",296
"2071","representado",296
"2072","acusación",295
"2073","barriento",295
"2074","dotación",295
"2075","líder",295
"2076","tangible",295
"2077","deseo",294
"2078","sa",294
"2079","viejo",294
"2080","ay",293
"2081","concedo",293
"2082","entero",293
"2083","lleg",293
"2084","manifiesto",293
"2085","naranjo",293
"2086","narrado",293
"2087","preocupar",293
"2088","producción",292
"2089","arteaga",291
"2090","centinela",291
"2091","corroborar",291
"2092","cuaderno",291
"2093","entrenar",291
"2094","frase",291
"2095","suma",291
"2096","golpear",290
"2097","obligar",290
"2098","parque",290
"2099","recuento",290
"2100","uribir",290
"2101","via",290
"2102","evidencia",289
"2103","leonardo",289
"2104","morgue",289
"2105","seguí",289
"2106","crítico",288
"2107","encubrimiento",288
"2108","mirir",288
"2109","petición",288
"2110","tenar",288
"2111","villa",288
"2112","bat",287
"2113","deer",287
"2114","dividir",287
"2115","perjuicio",287
"2116","ro",287
"2117","trabajador",287
"2118","anticipada",286
"2119","finalidad",286
"2120","parado",286
"2121","portar",286
"2122","solicitado",286
"2123","vela",286
"2124","ación",285
"2125","daniel",285
"2126","enterrado",285
"2127","evidenciar",285
"2128","ganado",285
"2129","itango",285
"2130","nacimiento",285
"2131","orientado",285
"2132","ración",285
"2133","taxi",285
"2134","camargo",284
"2135","conciencia",284
"2136","encontrábar",284
"2137","explicado",284
"2138","incluido",284
"2139","laboral",284
"2140","maestro",284
"2141","terminé",284
"2142","víctor",284
"2143","agencia",283
"2144","amanecer",283
"2145","confesión",283
"2146","diciéndo",283
"2147","exponer",283
"2148","facultad",283
"2149","respetuoso",283
"2150","silvania",283
"2151","valle",283
"2152","aprobar",282
"2153","nueve",282
"2154","obra",282
"2155","prensa",282
"2156","ust",282
"2157","abordado",281
"2158","aplicación",281
"2159","cali",281
"2160","cogí",281
"2161","informarle",281
"2162","domínguez",280
"2163","man",280
"2164","mapa",280
"2165","móvil",280
"2166","agregada",279
"2167","barranquilla",279
"2168","imaginar",279
"2169","paga",279
"2170","aprendida",278
"2171","autónomo",278
"2172","distribuir",278
"2173","marín",278
"2174","parecido",278
"2175","peor",278
"2176","viceprimero",278
"2177","accidente",277
"2178","adentro",277
"2179","colegio",277
"2180","descripción",277
"2181","desear",277
"2182","identifique",277
"2183","lineamiento",277
"2184","mensual",277
"2185","posible",277
"2186","caber",276
"2187","calificación",276
"2188","desarrollado",276
"2189","entrado",276
"2190","habir",276
"2191","parámetro",276
"2192","vegar",276
"2193","cronológico",275
"2194","ojalá",275
"2195","reiterar",275
"2196","transitoria",275
"2197","grabación",274
"2198","martín",274
"2199","ord",274
"2200","pariente",274
"2201","reglamento",274
"2202","castillo",273
"2203","fallar",273
"2204","presunto",273
"2205","rico",273
"2206","séptimo",273
"2207","contrastar",272
"2208","ell",272
"2209","sencillamente",272
"2210","causado",271
"2211","comparar",271
"2212","confiar",271
"2213","declarado",271
"2214","defensora",271
"2215","llorar",271
"2216","pantalón",271
"2217","atentado",270
"2218","decirno",270
"2219","lección",270
"2220","maní",270
"2221","metro",270
"2222","retener",270
"2223","chávez",269
"2224","equivoco",269
"2225","ganadero",269
"2226","secreto",269
"2227","silencio",269
"2228","tránsito",269
"2229","angarita",268
"2230","barrera",268
"2231","jerarquía",268
"2232","llenar",268
"2233","partir",268
"2234","procedir",268
"2235","refirer",268
"2236","darse",267
"2237","foso",267
"2238","frío",267
"2239","próximo",267
"2240","contrastación",266
"2241","marina",266
"2242","presentarar",266
"2243","trocha",266
"2244","valoración",266
"2245","atribuir",265
"2246","concluir",265
"2247","código",265
"2248","dispararle",265
"2249","extensión",265
"2250","motivación",265
"2251","narración",265
"2252","profundo",265
"2253","promover",265
"2254","alar",264
"2255","conducto",264
"2256","naturaleza",264
"2257","persecución",264
"2258","respetuosamente",264
"2259","sesión",264
"2260","cardona",263
"2261","clara",263
"2262","comunicado",263
"2263","explíqueno",263
"2264","instante",263
"2265","órden",263
"2266","agotado",262
"2267","emiter",262
"2268","lasprilla",262
"2269","tapar",262
"2270","alistar",261
"2271","especialidad",261
"2272","figurar",261
"2273","realizado",261
"2274","acorazado",260
"2275","algú",260
"2276","amaya",260
"2277","camisa",260
"2278","diar",260
"2279","mandado",260
"2280","pital",260
"2281","ángela",260
"2282","amenazado",259
"2283","corporación",259
"2284","fila",259
"2285","pantalla",259
"2286","rendido",259
"2287","batería",258
"2288","cco",258
"2289","conectar",258
"2290","coordinado",258
"2291","empiezo",258
"2292","fotografía",258
"2293","llevarar",258
"2294","permanentemente",258
"2295","permitar",258
"2296","quebrado",258
"2297","trago",258
"2298","viví",258
"2299","insisto",257
"2300","leal",257
"2301","ponga",257
"2302","protegido",257
"2303","abandonado",256
"2304","satisfacción",256
"2305","torno",256
"2306","daa",255
"2307","j",255
"2308","sexual",255
"2309","iniciativo",254
"2310","psicosocial",254
"2311","resistencia",254
"2312","detectar",253
"2313","entraban",253
"2314","felicito",253
"2315","haberse",253
"2316","lazo",253
"2317","organismo",253
"2318","realización",253
"2319","trayecto",253
"2320","condecoración",252
"2321","mercado",252
"2322","semanal",252
"2323","discusión",251
"2324","incautado",251
"2325","obvio",251
"2326","rimir",251
"2327","ucho",251
"2328","yair",251
"2329","cita",250
"2330","contr",250
"2331","em",250
"2332","indicio",250
"2333","llamarlo",250
"2334","separar",250
"2335","doloroso",249
"2336","enterrar",249
"2337","permanencia",249
"2338","capturada",248
"2339","citado",248
"2340","fiesta",248
"2341","juzgar",248
"2342","lleno",248
"2343","palma",248
"2344","relatado",248
"2345","convocar",247
"2346","lamentablemente",247
"2347","notificación",247
"2348","roso",247
"2349","adecuado",246
"2350","arango",246
"2351","augusto",246
"2352","cristiano",246
"2353","gavii",246
"2354","llever",246
"2355","recomendar",246
"2356","sinceramente",246
"2357","aseguramiento",245
"2358","influencia",245
"2359","perteneciar",245
"2360","montería",244
"2361","procederer",244
"2362","retenido",244
"2363","basado",243
"2364","independientemente",243
"2365","instructor",243
"2366","marca",243
"2367","quiso",243
"2368","ramel",243
"2369","túnel",243
"2370","valor",243
"2371","verifique",243
"2372","águilo",243
"2373","directriz",242
"2374","lescano",242
"2375","oír",242
"2376","piedra",242
"2377","toe",242
"2378","agotar",241
"2379","automáticamente",241
"2380","caro",241
"2381","crítica",241
"2382","decretar",241
"2383","educación",241
"2384","preocupe",241
"2385","sometido",241
"2386","alimentación",240
"2387","correctamente",240
"2388","credibilidad",240
"2389","delicado",240
"2390","distinción",240
"2391","ejecutado",240
"2392","esperanza",240
"2393","gravedad",240
"2394","prender",240
"2395","prestado",240
"2396","fredy",239
"2397","hernar",239
"2398","inmaterial",239
"2399","jurisdicción",239
"2400","leyr",239
"2401","promedio",239
"2402","aumentar",238
"2403","confrontación",238
"2404","límitir",238
"2405","trate",238
"2406","bolso",237
"2407","integridad",237
"2408","rafael",237
"2409","reclutamiento",237
"2410","sueño",237
"2411","suscrito",237
"2412","campesina",236
"2413","escondido",236
"2414","fundación",236
"2415","imposible",236
"2416","paisa",236
"2417","pretender",236
"2418","seleccionado",236
"2419","clave",235
"2420","firmér",235
"2421","oso",235
"2422","pajarito",235
"2423","tapia",235
"2424","zurdo",235
"2425","autoría",234
"2426","cogía",234
"2427","famoso",234
"2428","francisco",234
"2429","fundamento",234
"2430","germán",234
"2431","ot",234
"2432","parágrafo",234
"2433","solucionar",234
"2434","termino",234
"2435","vial",234
"2436","vázquez",234
"2437","acepto",233
"2438","ca",233
"2439","delinquir",233
"2440","destinado",233
"2441","destrucción",233
"2442","gritar",233
"2443","reclusión",233
"2444","universidad",233
"2445","vertical",233
"2446","alimentar",232
"2447","comunicarse",232
"2448","disponibilidad",232
"2449","estipulado",232
"2450","plasmar",232
"2451","ramón",232
"2452","selección",232
"2453","casino",231
"2454","decirme",231
"2455","derivado",231
"2456","estatutario",231
"2457","gar",231
"2458","infórmeno",231
"2459","mala",231
"2460","murillo",231
"2461","sospecha",231
"2462","uniforme",231
"2463","darlo",230
"2464","elaboración",230
"2465","inventar",230
"2466","medicina",230
"2467","sio",230
"2468","valderrama",230
"2469","miente",229
"2470","quedarar",229
"2471","someter",229
"2472","aducir",228
"2473","aiva",228
"2474","apuntar",228
"2475","combustible",228
"2476","dígano",228
"2477","empresa",228
"2478","huella",228
"2479","minuto",228
"2480","recreo",228
"2481","temprano",228
"2482","valentía",228
"2483","caballería",227
"2484","condicionado",227
"2485","jeep",227
"2486","orientación",227
"2487","oriental",227
"2488","capital",226
"2489","laura",226
"2490","legítima",226
"2491","perdomo",226
"2492","perdoner",226
"2493","reposar",226
"2494","resumen",226
"2495","cerrado",225
"2496","concejal",225
"2497","darío",225
"2498","llam",225
"2499","proclamar",225
"2500","puro",225
"2501","reporté",225
"2502","convenio",224
"2503","doler",224
"2504","maestrar",224
"2505","pigu",224
"2506","recuerda",224
"2507","transicional",224
"2508","vuelo",224
"2509","vámono",224
"2510","ciudadano",223
"2511","declar",223
"2512","deo",223
"2513","dándo",223
"2514","k",223
"2515","oa",223
"2516","regalar",223
"2517","retar",223
"2518","reunido",223
"2519","tolemaido",223
"2520","ampliación",222
"2521","cumplido",222
"2522","nelser",222
"2523","pegado",222
"2524","quiñón",222
"2525","asesorar",221
"2526","colaborador",221
"2527","cometí",221
"2528","hair",221
"2529","mantenimiento",221
"2530","montarse",221
"2531","presentarse",221
"2532","cifra",220
"2533","colaboración",220
"2534","desplazado",220
"2535","ester",220
"2536","indicador",220
"2537","lleve",220
"2538","negocio",220
"2539","ocultar",220
"2540","repúblicar",220
"2541","cao",219
"2542","costar",219
"2543","extorsionista",219
"2544","marcar",219
"2545","merced",219
"2546","obtenido",219
"2547","omegar",219
"2548","pertenencia",219
"2549","residencia",219
"2550","turcio",219
"2551","árbol",219
"2552","espinoso",218
"2553","juntar",218
"2554","legalmente",218
"2555","simple",218
"2556","berrío",217
"2557","florencia",217
"2558","plasmado",217
"2559","procesar",217
"2560","producido",217
"2561","reanudar",217
"2562","absolutar",216
"2563","altura",216
"2564","cadete",216
"2565","condena",216
"2566","estr",216
"2567","freddy",216
"2568","amarrar",215
"2569","ara",215
"2570","asustado",215
"2571","fundar",215
"2572","hernán",215
"2573","kilómetro",215
"2574","superar",215
"2575","verdaderamente",215
"2576","avión",214
"2577","créame",214
"2578","despliegue",214
"2579","judicialmente",214
"2580","lozano",214
"2581","pelado",214
"2582","posterioridad",214
"2583","prioridad",214
"2584","rí",214
"2585","alerta",213
"2586","apagar",213
"2587","circular",213
"2588","equivocado",213
"2589","humilde",213
"2590","repetidora",213
"2591","supervisión",213
"2592","cierro",212
"2593","conectado",212
"2594","fallo",212
"2595","gobernación",212
"2596","ordene",212
"2597","peligroso",212
"2598","remolina",212
"2599","sarama",212
"2600","secretario",212
"2601","transcurrir",212
"2602","unión",212
"2603","ámbito",212
"2604","estable",211
"2605","triste",211
"2606","actualizar",210
"2607","apagado",210
"2608","caribir",210
"2609","cogido",210
"2610","desplazarse",210
"2611","indicativo",210
"2612","perdonar",210
"2613","sueldo",210
"2614","volvar",210
"2615","arranque",209
"2616","artefacto",209
"2617","considerado",209
"2618","dedicado",209
"2619","exclusivamente",209
"2620","patio",209
"2621","relativo",209
"2622","sorpresa",209
"2623","abro",208
"2624","administración",208
"2625","apelación",208
"2626","banco",208
"2627","catalina",208
"2628","cercanía",208
"2629","comerciante",208
"2630","conversar",208
"2631","destruir",208
"2632","gobernador",208
"2633","orilla",208
"2634","pensamiento",208
"2635","albeiro",207
"2636","encargo",207
"2637","inmerso",207
"2638","lu",207
"2639","perdónemer",207
"2640","proveedor",207
"2641","recolectar",207
"2642","reporto",207
"2643","sepan",207
"2644","so",207
"2645","teatro",207
"2646","arrieta",206
"2647","interrogar",206
"2648","necropsia",206
"2649","recalcar",206
"2650","romper",206
"2651","verificado",206
"2652","aguirrir",205
"2653","durmer",205
"2654","secuencia",205
"2655","afortunadamente",204
"2656","conformidad",204
"2657","metía",204
"2658","plenamente",204
"2659","reflejar",204
"2660","suanchar",204
"2661","constituir",203
"2662","democrática",203
"2663","haciéndo",203
"2664","mediodía",203
"2665","queo",203
"2666","quitarle",203
"2667","camiseta",202
"2668","cuestionada",202
"2669","fudra",202
"2670","profesor",202
"2671","renuncia",202
"2672","bar",201
"2673","campament",201
"2674","cundinamarcar",201
"2675","episodio",201
"2676","escuch",201
"2677","procede",201
"2678","conformación",200
"2679","cumplar",200
"2680","decí",200
"2681","estigmatización",200
"2682","exposición",200
"2683","forzada",200
"2684","ordóñez",200
"2685","radioperador",200
"2686","distribución",199
"2687","edwin",199
"2688","entiende",199
"2689","hablarar",199
"2690","jerárquico",199
"2691","sabido",199
"2692","barroso",198
"2693","empalme",198
"2694","modificar",198
"2695","peligro",198
"2696","saqué",198
"2697","satelital",198
"2698","útil",198
"2699","alterno",197
"2700","batall",197
"2701","bernal",197
"2702","cod",197
"2703","enseguida",197
"2704","enton",197
"2705","evidente",197
"2706","gaul",197
"2707","impulsar",197
"2708","negativo",197
"2709","potrero",197
"2710","presionado",197
"2711","supuesta",197
"2712","agregación",196
"2713","alumno",196
"2714","bachiller",196
"2715","cogimo",196
"2716","doctor",196
"2717","fortalecer",196
"2718","ministro",196
"2719","preso",196
"2720","recuerd",196
"2721","sugerir",196
"2722","váyase",196
"2723","adolfo",195
"2724","alemán",195
"2725","autonomía",195
"2726","aéreo",195
"2727","dialogar",195
"2728","entro",195
"2729","escogido",195
"2730","jefatura",195
"2731","julano",195
"2732","osorio",195
"2733","preguntarles",195
"2734","puesta",195
"2735","conel",194
"2736","confusión",194
"2737","correctar",194
"2738","darles",194
"2739","interrumpo",194
"2740","mutat",194
"2741","participante",194
"2742","sandra",194
"2743","anotar",193
"2744","contener",193
"2745","luchar",193
"2746","netamente",193
"2747","quejado",193
"2748","realizan",193
"2749","represento",193
"2750","requisa",193
"2751","satisfacer",193
"2752","vear",193
"2753","bu",192
"2754","colocado",192
"2755","fijo",192
"2756","laa",192
"2757","paser",192
"2758","recogen",192
"2759","sonido",192
"2760","adscrita",191
"2761","crecer",191
"2762","dignidad",191
"2763","escalón",191
"2764","fuérar",191
"2765","invitar",191
"2766","llámr",191
"2767","permitido",191
"2768","presenciar",191
"2769","sincero",191
"2770","activar",190
"2771","anexar",190
"2772","comoo",190
"2773","depósito",190
"2774","elección",190
"2775","escapar",190
"2776","estrado",190
"2777","interrumpir",190
"2778","palo",190
"2779","perro",190
"2780","casado",189
"2781","efectiva",189
"2782","hacienda",189
"2783","impactar",189
"2784","incrementar",189
"2785","marte",189
"2786","valencia",189
"2787","almario",188
"2788","argumento",188
"2789","choque",188
"2790","darme",188
"2791","dudar",188
